Car_name,Model_year,Present_price,Cost_price,Reselling_price,Km_driven,Fuel,Seller,transmission,owner,Seats,Location,Mileage,Engine,Power
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,3.95,1.8,1.95,33000,Diesel,Individual,Manual,Second Owner,5,Kochi,17.5 kmpl,1199 CC,88.7 bhp
Jaguar XF 2.2 Litre Luxury,2014,10.38,7.3,7.45,28000,Diesel,Dealer,Automatic,First Owner,7,Mumbai,12.8 kmpl,2494 CC,102 bhp
Mercedes-Benz New C-Class 220 CDI AT,2013,5.98,2.95,3.1,59000,Diesel,Dealer,Automatic,First Owner,5,Bangalore,19.01 kmpl,1461 CC,108.45 bhp
Maruti Vitara Brezza ZDi Plus AMT,2018,4.89,2.2,2.35,4500,Diesel,Dealer,Automatic,First Owner,5,Delhi,14.53 kmpl,1798 CC,138.1 bhp
Audi Q5 2.0 TDI,2011,7.49,4.8,4.95,175900,Diesel,Dealer,Automatic,First Owner,7,Bangalore,11.18 kmpl,2696 CC,184 bhp
Honda City V MT,2018,9.95,5.85,6,14500,Petrol,Dealer,Manual,First Owner,5,Kolkata,12.4 kmpl,2698 CC,179.5 bhp
Tata Tigor 1.2 Revotron XT,2018,8.06,5.35,5.5,15000,Petrol,Individual,Manual,First Owner,5,Coimbatore,16.09 kmpl,1598 CC,103.5 bhp
Audi A6 2.0 TDI  Design Edition,2013,7.74,2.8,2.95,50000,Diesel,Dealer,Automatic,First Owner,5,Jaipur,14.0 kmpl,1061 CC,64 bhp
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,7.2,4.5,4.65,33800,Diesel,Dealer,Automatic,Second Owner,5,Kochi,24.3 kmpl,1248 CC,88.5 bhp
Skoda Superb Ambition 2.0 TDI CR AT,2011,2.28,0.2,0.35,130400,Diesel,Dealer,Automatic,Second Owner,5,Delhi,18.15 kmpl,1198 CC,82 bhp
Toyota Corolla Altis G AT,2016,3.76,2.85,3,50000,Petrol,Individual,Automatic,First Owner,5,Pune,11.74 kmpl,2987 CC,254.8 bhp
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,7.98,2.1,2.25,80000,Diesel,Individual,Manual,First Owner,5,Chennai,22.07 kmpl,1199 CC,73.9 bhp
Jeep Compass 1.4 Sport Plus BSIV,2019,7.87,5.7,5.85,10000,Petrol,Individual,Manual,First Owner,5,Delhi,19.7 kmpl,796 CC,46.3 bhp
Mercedes-Benz E-Class E 200 CGI Elegance,2010,3.98,2.4,2.55,119000,Petrol,Dealer,Automatic,First Owner,4,Kochi,25.4 kmpl,624 CC,37.5 bhp
Hyundai i10 Magna 1.1L,2014,7.15,1.8,1.95,60000,Petrol,Individual,Manual,Fourth & Above Owner,6,Coimbatore,25.32 kmpl,1198 CC,77 bhp
BMW 3 Series 320d Sport Line,2013,8.06,5.35,5.5,75800,Diesel,Dealer,Automatic,Second Owner,5,Kochi,18.5 kmpl,1197 CC,82.9 bhp
Audi Q7 35 TDI Quattro Premium,2009,2.69,1.1,1.25,78000,Diesel,Dealer,Automatic,Third Owner,5,Bangalore,14.62 kmpl,1999 CC,149.92 bhp
Hyundai Elantra CRDi S,2012,12.04,7.35,7.5,40000,Diesel,Individual,Manual,First Owner,5,Mumbai,14.28 kmpl,1798 CC,138.03 bhp
Mahindra Scorpio 1.99 S10,2014,4.89,2.5,2.65,50000,Diesel,Individual,Manual,First Owner,5,Ahmedabad,14.9 kmpl,1991 CC,112.2 bhp
Honda City i DTEC V,2014,4.15,0.9,1.05,74000,Diesel,Individual,Manual,Second Owner,7,Bangalore,11.25 kmpl,2694 CC,163.7 bhp
Maruti Wagon R VXI BS IV with ABS,2014,7.71,5.65,5.8,64000,Petrol,Individual,Manual,Second Owner,5,Jaipur,24.4 kmpl,1120 CC,71 bhp
Maruti Wagon R VXI BS IV,2012,9.29,7.6,7.75,60000,Petrol,Individual,Manual,Second Owner,6,Jaipur,16.55 kmpl,2498 CC,105 bhp
Mahindra Scorpio LX,2009,30.61,14.75,14.9,120000,Diesel,Individual,Manual,Second Owner,5,Kochi,17.11 kmpl,1968 CC,174.33 bhp
Hyundai Santro Xing GLS,2009,30.61,22.85,23,79000,Petrol,Individual,Manual,Third Owner,5,Delhi,22.9 kmpl,1248 CC,74 bhp
Hyundai Grand i10 1.2 Kappa Asta,2019,19.77,17.85,18,15000,Petrol,Individual,Manual,First Owner,5,Kolkata,17.8 kmpl,1248 CC,75 bhp
Maruti Alto LXi,2006,30.61,15.85,16,80000,Petrol,Individual,Manual,First Owner,5,Delhi,28.4 kmpl,1248 CC,74 bhp
Maruti Swift Dzire VDI Optional,2017,10.21,2.6,2.75,18500,Diesel,Dealer,Manual,First Owner,5,Chennai,18.9 kmpl,1197 CC,82 bhp
Maruti Eeco 5 Seater AC BSIV,2018,15.04,3.45,3.6,10200,Petrol,Dealer,Manual,First Owner,5,Kolkata,15.04 kmpl,1598 CC,103.2 bhp
Hyundai i20 Sportz 1.4 CRDi,2018,7.27,4.35,4.5,29000,Diesel,Dealer,Manual,First Owner,5,Kochi,25.17 kmpl,799 CC,53.3 bhp
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,18.54,4.6,4.75,28000,Petrol,Dealer,Manual,First Owner,5,Kolkata,20.36 kmpl,1197 CC,78.9 bhp
Maruti Swift ZDi BSIV,2016,6.8,3.95,4.1,46000,Diesel,Dealer,Manual,First Owner,5,Hyderabad,13.29 kmpl,1995 CC,147.6 bhp
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,35.96,19.84,19.99,70000,Diesel,Dealer,Manual,First Owner,5,Hyderabad,18.2 kmpl,998 CC,67.1 bhp
Maruti Alto LXi,2012,18.61,6.8,6.95,60000,Petrol,Individual,Manual,Second Owner,8,Mumbai,13.68 kmpl,2393 CC,147.8 bhp
Mahindra Jeep CL 500 MDI,1996,7.7,4.35,4.5,35000,Diesel,Individual,Manual,Second Owner,5,Bangalore,20.0 kmpl,1399 CC,68 bhp
Honda City i DTEC VX,2014,35.96,18.6,18.75,90000,Diesel,Dealer,Manual,First Owner,5,Delhi,11.74 kmpl,1796 CC,186 bhp
Maruti Wagon R VXI BS IV,2013,35.96,23.35,23.5,80000,Petrol,Dealer,Manual,First Owner,5,Pune,15.8 kmpl,2148 CC,170 bhp
Tata Indica DLS,2005,36.23,32.85,33,80000,Diesel,Individual,Manual,First Owner,5,Chennai,25.0 kmpl,1396 CC,69 bhp
Hyundai EON Magna Plus,2014,6.95,4.6,4.75,73300,Petrol,Dealer,Manual,Second Owner,5,Jaipur,16.55 kmpl,1968 CC,140 bhp
Toyota Etios GD,2014,23.15,19.6,19.75,92000,Diesel,Dealer,Manual,First Owner,5,Mumbai,16.4 kmpl,1497 CC,78 bhp
Maruti Alto LXi,2009,20.45,9.1,9.25,66764,Petrol,Dealer,Manual,Second Owner,5,Coimbatore,0.0 kmpl,1950 CC,194 bhp
Maruti Alto LXi,2009,13.74,4.2,4.35,100000,Petrol,Individual,Manual,First Owner,7,Pune,24.52 kmpl,1248 CC,88.5 bhp
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,20.91,14.1,14.25,350000,Diesel,Individual,Manual,Second Owner,5,Mumbai,22.1 kmpl,1396 CC,88.7 bhp
Toyota Corolla Altis Diesel D4DG,2011,6.76,3.8,3.95,230000,Diesel,Individual,Manual,First Owner,5,Mumbai,8.5 kmpl,4806 CC,500 bhp
Mahindra Scorpio 1.99 S6 Plus,2017,12.48,4.35,4.5,60000,Diesel,Individual,Manual,First Owner,7,Mumbai,15.1 kmpl,2179 CC,140 bhp
Hyundai EON Magna Plus,2018,18.61,7.3,7.45,31000,Petrol,Individual,Manual,First Owner,5,Kochi,16.95 kmpl,1197 CC,78.9 bhp
Tata Indigo Classic Dicor,2007,5.71,2.5,2.65,39000,Diesel,Individual,Manual,First Owner,5,Kochi,19.64 kmpl,1461 CC,108.5 bhp
Toyota Innova 2.5 V Diesel 8-seater,2009,8.93,4.75,4.9,120000,Diesel,Individual,Manual,Third Owner,5,Coimbatore,16.5 kmpl,1198 CC,86.8 bhp
Tata Indica Vista Quadrajet LS,2014,6.8,3.8,3.95,166000,Diesel,Individual,Manual,Fourth & Above Owner,5,Delhi,18.53 kmpl,1968 CC,187.74 bhp
Maruti Swift 1.3 VXi,2006,14.68,5.35,5.5,110000,Petrol,Individual,Manual,Third Owner,5,Jaipur,17.8 kmpl,1399 CC,null bhp
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,12.35,1.35,1.5,35000,Diesel,Individual,Manual,First Owner,8,Chennai,12.4 kmpl,1998 CC,132 bhp
Maruti Ciaz 1.3 Delta,2018,22.83,5.1,5.25,60000,Diesel,Individual,Manual,First Owner,7,Hyderabad,12.8 kmpl,2494 CC,102 bhp
Honda Civic 1.8 V AT,2007,30.61,14.35,14.5,54000,Petrol,Individual,Automatic,Second Owner,5,Hyderabad,0.0 kmpl,1086 CC,null bhp
Hyundai i10 Sportz 1.2,2010,14.89,14.58,14.73,63000,Petrol,Individual,Manual,Second Owner,5,Jaipur,22.9 kmpl,1248 CC,74 bhp
Skoda Rapid 1.5 TDI Elegance,2014,7.85,4.6,4.75,120000,Diesel,Individual,Manual,Second Owner,5,Pune,17.57 kmpl,1193 CC,88.7 bhp
Hyundai Getz GLS,2005,25.39,22.85,23,120000,Petrol,Individual,Manual,Third Owner,5,Kochi,18.0 kmpl,1198 CC,86.7 bhp
Nissan Terrano XL,2014,13.46,12.35,12.5,76000,Petrol,Individual,Manual,Second Owner,5,Hyderabad,20.0 kmpl,1399 CC,68 bhp
Hyundai Grand i10 CRDi Sportz,2015,13.46,3.34,3.49,80000,Diesel,Individual,Manual,First Owner,5,Jaipur,23.2 kmpl,1248 CC,73.94 bhp
Hyundai Elite i20 Diesel Era,2019,23.73,2.35,2.5,25000,Diesel,Individual,Manual,First Owner,5,Delhi,17.8 kmpl,1497 CC,117.3 bhp
Honda Amaze S i-VTEC,2016,92.6,34.85,35,11958,Petrol,Dealer,Manual,First Owner,5,Delhi,16.73 kmpl,1995 CC,218 bhp
Honda Brio S MT,2015,13.74,5.75,5.9,20000,Petrol,Dealer,Manual,First Owner,5,Pune,20.36 kmpl,1197 CC,78.9 bhp
Hyundai Creta 1.6 SX Option,2017,6.05,3.3,3.45,9000,Petrol,Dealer,Manual,First Owner,5,Bangalore,18.9 kmpl,1197 CC,82 bhp
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,6.76,4.6,4.75,6500,Diesel,Dealer,Automatic,First Owner,5,Hyderabad,17.0 kmpl,1086 CC,null bhp
Mahindra XUV500 W8 2WD,2015,18.61,3.65,3.8,70000,Diesel,Individual,Manual,First Owner,5,Mumbai,17.8 kmpl,1198 CC,86.7 bhp
Renault Duster 85PS Diesel RxL Optional,2013,16.09,11.1,11.25,120000,Diesel,Individual,Manual,First Owner,7,Delhi,13.0 kmpl,2982 CC,168.5 bhp
Hyundai Santro Xing XO,2007,13.7,3.36,3.51,58000,Petrol,Dealer,Manual,Second Owner,5,Coimbatore,17.68 kmpl,1968 CC,174.33 bhp
Mahindra Bolero 2011-2019 SLE,2013,30.61,22.85,23,62200,Diesel,Dealer,Manual,First Owner,5,Delhi,22.7 kmpl,1498 CC,89.84 bhp
Audi A6 2.0 TDI Premium Plus,2014,22.78,3.85,4,34000,Diesel,Dealer,Automatic,Second Owner,7,Delhi,15.1 kmpl,2179 CC,140 bhp
Fiat Avventura MULTIJET Emotion,2015,18.61,5.7,5.85,53000,Diesel,Individual,Manual,Second Owner,5,Kolkata,25.8 kmpl,1498 CC,98.6 bhp
Audi A8 4.2 TDI,2013,25.39,20.6,20.75,49000,Diesel,Dealer,Automatic,First Owner,5,Kolkata,22.07 kmpl,1199 CC,73.9 bhp
Datsun RediGO 1.0 S,2017,18.64,16.85,17,15000,Petrol,Dealer,Manual,Second Owner,5,Ahmedabad,16.2 kmpl,1493 CC,110 bhp
Volkswagen Jetta 1.4 TSI Comfortline,2013,18.61,6.9,7.05,50000,Petrol,Individual,Manual,First Owner,5,Bangalore,18.9 kmpl,998 CC,67.1 bhp
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,20.45,9.5,9.65,53000,Diesel,Dealer,Automatic,First Owner,5,Delhi,15.26 kmpl,1598 CC,103.5 bhp
Honda Civic 1.8 V AT,2009,1.9,1.6,1.75,63500,Petrol,Dealer,Automatic,First Owner,5,Pune,23.0 kmpl,1396 CC,90 bhp
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,1.82,1.55,1.7,9800,Petrol,Dealer,Automatic,First Owner,5,Mumbai,18.5 kmpl,1197 CC,82.85 bhp
BMW X1 sDrive 20d xLine,2017,1.78,1.5,1.65,13000,Diesel,Individual,Automatic,First Owner,7,Pune,19.83 kmpl,1198 CC,67 bhp
Volvo V40 D3 R Design,2018,1.6,1.3,1.45,21000,Diesel,Dealer,Automatic,First Owner,5,Kolkata,14.94 kmpl,2967 CC,241.4 bhp
Maruti SX4 Zxi BSIII,2008,1.47,1.2,1.35,29173,Petrol,Dealer,Manual,First Owner,5,Pune,17.0 kmpl,1197 CC,80 bhp
BMW 7 Series 730Ld,2012,2.37,1.2,1.35,48000,Diesel,Dealer,Automatic,First Owner,5,Coimbatore,14.0 kmpl,796 CC,35 bhp
Mahindra Bolero Power Plus SLX,2017,3.45,1.2,1.35,120000,Diesel,Individual,Manual,First Owner,5,Ahmedabad,17.71 kmpl,1197 CC,78.9 bhp
Hyundai Sonata CRDi M/T,2010,1.5,1.1,1.25,100000,Diesel,Individual,Manual,First Owner,5,Hyderabad,14.74 kmpl,2993 CC,270.9 bhp
Nissan Micra Active XV Petrol,2017,1.5,1.05,1.2,30000,Petrol,Individual,Manual,First Owner,7,Delhi,16.0 kmpl,2179 CC,140 bhp
Mahindra Xylo D4,2018,1.47,1.05,1.2,87000,Diesel,Individual,Manual,First Owner,5,Kolkata,22.32 kmpl,1582 CC,126.32 bhp
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,1.78,1.05,1.2,15000,Petrol,Individual,Manual,First Owner,7,Mumbai,11.36 kmpl,2755 CC,171.5 bhp
Renault KWID RXT,2017,1.5,1,1.15,16000,Petrol,Individual,Manual,First Owner,5,Coimbatore,15.1 kmpl,1196 CC,73 bhp
Mahindra Xylo E4 BS III,2012,2.4,1,1.15,60000,Diesel,Individual,Manual,First Owner,4,Bangalore,25.4 kmpl,624 CC,37.5 bhp
Maruti Wagon R LXI Minor,2010,1.4,1,1.15,60000,Petrol,Individual,Manual,Fourth & Above Owner,5,Mumbai,22.69 kmpl,1995 CC,190 bhp
Maruti SX4 ZXI MT BSIV,2011,1.47,1,1.15,110000,Petrol,Individual,Manual,Third Owner,5,Delhi,13.5 kmpl,1799 CC,130 bhp
Renault KWID RXT,2017,1.47,0.96,1.11,25000,Petrol,Individual,Manual,First Owner,7,Ahmedabad,12.99 kmpl,2494 CC,100.6 bhp
Hyundai Creta 1.4 CRDi S,2016,1.47,0.95,1.1,60000,Diesel,Individual,Manual,First Owner,5,Bangalore,23.3 kmpl,1984 CC,150 bhp
Maruti Swift Dzire VDI,2014,1.9,0.95,1.1,79350,Diesel,Individual,Manual,Second Owner,5,Coimbatore,19.15 kmpl,1198 CC,75.94 bhp
Hyundai Verna 1.6 VTVT AT S Option,2016,1.47,0.95,1.1,80000,Petrol,Individual,Automatic,First Owner,5,Mumbai,10.8 kmpl,2497 CC,215 bhp
Mahindra Scorpio LX BSIV,2014,1.9,0.9,1.05,90000,Diesel,Individual,Manual,Second Owner,5,Mumbai,24.3 kmpl,1248 CC,88.5 bhp
Maruti SX4 Vxi BSIII,2007,1.26,0.9,1.05,90000,Petrol,Individual,Manual,Second Owner,5,Mumbai,17.0 kmpl,1086 CC,null bhp
Maruti Ertiga VDI,2014,1.5,0.9,1.05,120000,Diesel,Individual,Manual,Second Owner,5,Pune,15.0 kmpl,2143 CC,107.3 bhp
Chevrolet Beat Diesel,2013,1.17,0.9,1.05,60000,Diesel,Individual,Manual,Second Owner,5,Kolkata,22.0 kmpl,1582 CC,126.2 bhp
Maruti Zen LX,2004,1.47,0.85,1,50000,Petrol,Individual,Manual,First Owner,5,Pune,18.9 kmpl,998 CC,67.1 bhp
Maruti Baleno Delta 1.2,2018,1.75,0.8,0.95,20000,Petrol,Individual,Manual,First Owner,4,Coimbatore,21.9 kmpl,624 CC,37.48 bhp
Maruti Swift Vdi BSIII,2007,1.75,0.75,0.9,110000,Diesel,Individual,Manual,Fourth & Above Owner,8,Kolkata,12.05 kmpl,2179 CC,120 bhp
Tata Nano Lx BSIV,2012,0.95,0.75,0.9,50000,Petrol,Individual,Manual,Second Owner,5,Kolkata,11.7 kmpl,1796 CC,178 bhp
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,0.8,0.6,0.75,100000,Diesel,Individual,Manual,First Owner,5,Pune,26.6 km/kg,998 CC,58.16 bhp
Maruti Ertiga SHVS VDI,2016,0.87,0.65,0.8,70000,Diesel,Individual,Manual,Second Owner,5,Bangalore,10.8 kmpl,2354 CC,152 bhp
Hyundai Creta 1.6 CRDi SX,2016,0.84,0.63,0.78,70000,Diesel,Individual,Manual,Second Owner,5,Pune,21.21 kmpl,1498 CC,103.2 bhp
Honda Amaze S i-Vtech,2016,0.87,0.6,0.75,50000,Petrol,Individual,Manual,First Owner,5,Kochi,20.73 kmpl,1373 CC,91.1 bhp
Tata Indica Vista Aqua 1.4 TDI,2010,0.82,0.6,0.75,81000,Diesel,Individual,Manual,Second Owner,7,Jaipur,16.0 kmpl,2179 CC,140 bhp
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,0.95,0.6,0.75,120000,Diesel,Individual,Manual,Third Owner,5,Coimbatore,21.1 kmpl,1197 CC,85.80 bhp
Chevrolet Cruze LTZ,2015,0.95,0.57,0.72,3600,Diesel,Dealer,Manual,First Owner,5,Hyderabad,24.07 kmpl,998 CC,67.1 bhp
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,0.81,0.5,0.65,14272,Petrol,Dealer,Manual,First Owner,2,Kolkata,19.0 kmpl,2996 CC,362.07 bhp
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,0.74,0.5,0.65,49213,Diesel,Dealer,Manual,First Owner,5,Kochi,17.0 kmpl,1591 CC,121.3 bhp
Hyundai i10 Sportz 1.1L,2015,1.2,0.5,0.65,40000,Petrol,Individual,Manual,First Owner,5,Chennai,19.7 kmpl,796 CC,46.3 bhp
Maruti 800 Std,1998,0.787,0.5,0.65,40000,Petrol,Individual,Manual,Fourth & Above Owner,5,Coimbatore,20.58 kmpl,1995 CC,143 bhp
Chevrolet Spark 1.0 LS,2012,0.87,0.45,0.6,80000,Petrol,Individual,Manual,First Owner,5,Mumbai,19.0 kmpl,1199 CC,88.7 bhp
Hyundai EON Era Plus,2015,0.95,0.45,0.6,70000,Petrol,Individual,Manual,First Owner,5,Delhi,13.5 kmpl,1799 CC,130 bhp
Tata Indica Vista Aqua TDI BSIII,2011,1.2,0.45,0.6,70000,Diesel,Individual,Manual,First Owner,5,Kochi,19.27 kmpl,2143 CC,170 bhp
Hyundai Santro LP zipPlus,2003,0.8,0.45,0.6,57000,Petrol,Individual,Manual,First Owner,5,Kolkata,25.8 kmpl,1498 CC,98.6 bhp
Tata Bolt Quadrajet XE,2016,0.84,0.45,0.6,120000,Diesel,Individual,Manual,First Owner,5,Kochi,22.0 kmpl,1197 CC,81.80 bhp
Maruti 800 AC BSIII,2005,0.84,0.45,0.6,30000,Petrol,Individual,Manual,First Owner,5,Kochi,17.0 kmpl,1086 CC,null bhp
Hyundai EON Era Plus,2013,0.99,0.45,0.6,3240,Petrol,Individual,Manual,Second Owner,7,Coimbatore,11.5 kmpl,2982 CC,171 bhp
Hyundai i20 Magna 1.2,2015,0.81,0.45,0.6,5000,Petrol,Individual,Manual,First Owner,5,Pune,18.6 kmpl,1199 CC,76.8 bhp
Hyundai i20 1.2 Asta,2018,0.787,0.4,0.55,10000,Petrol,Individual,Manual,First Owner,5,Chennai,21.14 kmpl,1498 CC,103.52 bhp
Maruti Ciaz VDi Plus,2015,0.84,0.4,0.55,100000,Diesel,Individual,Manual,First Owner,5,Kochi,20.73 kmpl,1373 CC,91.1 bhp
Hyundai i20 Asta 1.4 CRDi,2016,0.94,0.37,0.52,80000,Diesel,Individual,Manual,First Owner,4,Mumbai,11.05 kmpl,2894 CC,444 bhp
Hyundai Santro LE,2002,0.94,0.36,0.51,70000,Petrol,Individual,Manual,First Owner,5,Mumbai,21.76 kmpl,1995 CC,190 bhp
Maruti Vitara Brezza VDi,2018,0.826,0.35,0.5,35000,Diesel,Individual,Manual,First Owner,5,Coimbatore,17.11 kmpl,1968 CC,174.33 bhp
Hyundai Santro Xing XL eRLX Euro III,2007,0.55,0.35,0.5,114000,Petrol,Individual,Manual,Second Owner,5,Chennai,22.9 kmpl,1248 CC,74 bhp
Hyundai Getz 1.3 GLS,2008,0.99,0.35,0.5,53772,Petrol,Individual,Manual,First Owner,5,Kolkata,7.81 kmpl,5461 CC,362.9 bhp
Mahindra Quanto C8,2012,0.99,0.35,0.5,140000,Diesel,Individual,Manual,Second Owner,5,Coimbatore,21.66 kmpl,1498 CC,103.52 bhp
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,0.88,0.35,0.5,120000,Diesel,Individual,Manual,First Owner,5,Pune,17.2 kmpl,1968 CC,138.1 bhp
Hyundai EON Magna Plus,2012,0.51,0.33,0.48,60000,Petrol,Individual,Manual,First Owner,5,Kochi,21.1 kmpl,814 CC,55.2 bhp
Renault KWID RXT,2016,0.52,0.33,0.48,25000,Petrol,Individual,Manual,First Owner,5,Jaipur,22.07 kmpl,1199 CC,73.9 bhp
Maruti Wagon R DUO LPG,2014,0.84,0.33,0.48,90000,LPG,Individual,Manual,First Owner,5,Kolkata,20.63 kmpl,1198 CC,67.06 bhp
Maruti Wagon R LXI,2020,0.54,0.33,0.48,120000,Petrol,Individual,Manual,First Owner,5,Kolkata,19.4 kmpl,1198 CC,86.8 bhp
Chevrolet Enjoy 1.3 TCDi LS 8,2015,0.51,0.3,0.45,175000,Diesel,Individual,Manual,First Owner,5,Delhi,14.8 kmpl,1595 CC,120.7 bhp
Chevrolet Spark 1.0 LS,2011,0.95,0.3,0.45,100000,Petrol,Individual,Manual,Third Owner,5,Kochi,26.0 kmpl,1498 CC,98.6 bhp
Honda City i VTEC SV,2014,0.826,0.3,0.45,36000,Petrol,Individual,Manual,First Owner,7,Ahmedabad,12.99 kmpl,2494 CC,100.6 bhp
Honda Amaze VX i-DTEC,2013,0.99,0.3,0.45,30000,Diesel,Individual,Manual,First Owner,5,Ahmedabad,20.4 kmpl,1197 CC,81.80 bhp
Jaguar XJ 5.0 L V8 Supercharged,2010,0.95,0.3,0.45,40000,Petrol,Individual,Automatic,Second Owner,7,Mumbai,15.1 kmpl,2179 CC,140 bhp
